project_name,base_commit,parent_commit_test_suites,other_parent_commit,merge_commit,tool,behavior_change,criteria,failed_test_cases,local_test_suite,class_under_analysis,method_under_analysis,flaky_tests,jar_type
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,196c4d591,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'Python2Target_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_7,org.antlr.v4.codegen.target.Python2Target,python2Keywords,set(),transformed
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'Python2Target_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_8,org.antlr.v4.codegen.target.Python2Target,python2Keywords,set(),transformed
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,196c4d591,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test05'| 'Python3Target_ESTest#test13'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_9,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),original
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test07'| 'Python3Target_ESTest#test04'| 'Python3Target_ESTest#test10'| 'Python3Target_ESTest#test11'| 'Python3Target_ESTest#test13'| 'Python3Target_ESTest#test02'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_10,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),original
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,196c4d591,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_11,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),original
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_12,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),original
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,196c4d591,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test19'| 'Python3Target_ESTest#test08'| 'Python3Target_ESTest#test06'| 'Python3Target_ESTest#test14'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_13,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),transformed
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test10'| 'Python3Target_ESTest#test11'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_14,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),transformed
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,196c4d591,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_15,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),transformed
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'Python3Target_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_16,org.antlr.v4.codegen.target.Python3Target,python3Keywords,set(),transformed
fitnesse,87a4b54f94f7dbe48bdfde0dae874e36d48f43df,d24741cd3,NOT-REQUIRED,4d9ba9d221d879507440feb084fa7521b95111ec,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'SlimTableFactory_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/evosuite_19,fitnesse.testsystems.slim.tables.SlimTableFactory,SlimTableFactory(),set(),transformed
fitnesse,87a4b54f94f7dbe48bdfde0dae874e36d48f43df,6c383370e,NOT-REQUIRED,4d9ba9d221d879507440feb084fa7521b95111ec,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'SlimTableFactory_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/evosuite_20,fitnesse.testsystems.slim.tables.SlimTableFactory,SlimTableFactory(),set(),transformed
fitnesse,87a4b54f94f7dbe48bdfde0dae874e36d48f43df,d24741cd3,NOT-REQUIRED,4d9ba9d221d879507440feb084fa7521b95111ec,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'SlimTableFactoryTest_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/evosuite_15,fitnesse.testsystems.slim.tables.SlimTableFactoryTest,setUp(),set(),transformed
HikariCP,9eb405e5b81082044daca981b2655396c4e9a6eb,b4510a50,NOT-REQUIRED,1bca94af9ec625f21d1b58ff10efb5be71ab87a6,EVOSUITE,True,FIRST_CRITERION,{'HikariPool_ESTest#test18'| 'HikariPool_ESTest#test12'| 'HikariPool_ESTest#test16'| 'HikariPool_ESTest#test20'| 'HikariPool_ESTest#test15'| 'HikariPool_ESTest#test02'| 'HikariPool_ESTest#test00'| 'HikariPool_ESTest#test19'| 'HikariPool_ESTest#test11'| 'HikariPool_ESTest#test21'| 'HikariPool_ESTest#test22'| 'HikariPool_ESTest#test14'| 'HikariPool_ESTest#test17'| 'HikariPool_ESTest#test03'| 'HikariPool_ESTest#test04'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/HikariCP/1bca94af9ec625f21d1b58ff10efb5be71ab87a6/evosuite_10,com.zaxxer.hikari.HikariPool,addConnection(),set(),original
spring-boot,b5709fd6183bb283b7294b77a477528e03483d10,544d51656,NOT-REQUIRED,6664ce19d6f2388ebd6cf54763f54fdddd226b9a,EVOSUITE,True,FIRST_CRITERION,{'AtomikosProperties_ESTest#test22'| 'AtomikosProperties_ESTest#test07'| 'AtomikosProperties_ESTest#test33'| 'AtomikosProperties_ESTest#test32'| 'AtomikosProperties_ESTest#test30'| 'AtomikosProperties_ESTest#test27'| 'AtomikosProperties_ESTest#test01'| 'AtomikosProperties_ESTest#test34'| 'AtomikosProperties_ESTest#test05'},/home/CIN/lmps2/semanticConflicts/SMAT/output-test-dest/spring-boot/6664ce19d6f2388ebd6cf54763f54fdddd226b9a/evosuite_18,org.springframework.boot.jta.atomikos.AtomikosProperties | java.util.Properties,asProperties(),set(),original
spring-boot,b5709fd6183bb283b7294b77a477528e03483d10,544d51656,NOT-REQUIRED,6664ce19d6f2388ebd6cf54763f54fdddd226b9a,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'AtomikosProperties_ESTest#test0'},/home/CIN/lmps2/semanticConflicts/SMAT/output-test-dest/spring-boot/6664ce19d6f2388ebd6cf54763f54fdddd226b9a/evosuite_20,org.springframework.boot.jta.atomikos.AtomikosProperties | java.util.Properties,asProperties(),set(),original
spring-boot,b5709fd6183bb283b7294b77a477528e03483d10,337e64526,NOT-REQUIRED,6664ce19d6f2388ebd6cf54763f54fdddd226b9a,RANDOOP,True,FIRST_CRITERION,{'(RegressionTest10#test05121'| '(RegressionTest5#test02870'},/home/CIN/lmps2/semanticConflicts/SMAT/output-test-dest/spring-boot/6664ce19d6f2388ebd6cf54763f54fdddd226b9a/randoop_17,org.springframework.boot.jta.atomikos.AtomikosProperties | java.util.Properties,asProperties(),set(),original
spring-boot,b5709fd6183bb283b7294b77a477528e03483d10,544d51656,NOT-REQUIRED,6664ce19d6f2388ebd6cf54763f54fdddd226b9a,RANDOOP,True,FIRST_CRITERION,{'(RegressionTest10#test5162'| '(RegressionTest2#test1240'| '(RegressionTest1#test0933'| '(RegressionTest4#test2294'| '(RegressionTest16#test8023'| '(RegressionTest15#test7698'| '(RegressionTest4#test2185'| '(RegressionTest14#test7107'| '(RegressionTest15#test7936'| '(RegressionTest6#test3348'| '(RegressionTest12#test6308'| '(RegressionTest11#test5825'| '(RegressionTest10#test5096'| '(RegressionTest13#test6522'| '(RegressionTest11#test5687'| '(RegressionTest11#test5706'| '(RegressionTest13#test6753'| '(RegressionTest4#test2252'| '(RegressionTest6#test3195'| '(RegressionTest18#test9246'| '(RegressionTest11#test5805'| '(RegressionTest1#test0639'| '(RegressionTest9#test4724'| '(RegressionTest5#test2705'| '(RegressionTest11#test5927'| '(RegressionTest8#test4424'| '(RegressionTest18#test9126'| '(RegressionTest15#test7965'| '(RegressionTest17#test8700'| '(RegressionTest17#test8761'| '(RegressionTest1#test0739'| '(RegressionTest17#test8783'| '(RegressionTest13#test6800'| '(RegressionTest9#test4511'| '(RegressionTest15#test7535'| '(RegressionTest16#test8487'| '(RegressionTest1#test0661'| '(RegressionTest5#test2567'| '(RegressionTest16#test8090'| '(RegressionTest6#test3370'| '(RegressionTest4#test2412'| '(RegressionTest15#test7921'| '(RegressionTest9#test4882'| '(RegressionTest16#test8209'| '(RegressionTest16#test8152'| '(RegressionTest10#test5238'| '(RegressionTest4#test2486'| '(RegressionTest3#test1816'| '(RegressionTest16#test8064'| '(RegressionTest16#test8351'| '(RegressionTest12#test6486'| '(RegressionTest5#test2773'| '(RegressionTest17#test8593'| '(RegressionTest16#test8243'| '(RegressionTest4#test2060'| '(RegressionTest11#test5564'| '(RegressionTest18#test9341'| '(RegressionTest5#test2935'| '(RegressionTest10#test5087'| '(RegressionTest17#test8765'| '(RegressionTest5#test2728'| '(RegressionTest13#test6592'| '(RegressionTest1#test0665'| '(RegressionTest16#test8071'| '(RegressionTest14#test7176'| '(RegressionTest15#test7634'| '(RegressionTest14#test7425'| '(RegressionTest10#test5007'| '(RegressionTest4#test2398'| '(RegressionTest1#test0763'| '(RegressionTest13#test6795'| '(RegressionTest9#test4743'| '(RegressionTest5#test2535'| '(RegressionTest2#test1320'| '(RegressionTest3#test1643'| '(RegressionTest16#test8182'| '(RegressionTest7#test3542'| '(RegressionTest17#test8966'| '(RegressionTest12#test6227'| '(RegressionTest18#test9099'| '(RegressionTest14#test7350'| '(RegressionTest17#test8522'| '(RegressionTest12#test6103'| '(RegressionTest14#test7275'| '(RegressionTest6#test3044'| '(RegressionTest17#test8853'| '(RegressionTest17#test8847'| '(RegressionTest10#test5429'| '(RegressionTest4#test2229'| '(RegressionTest10#test5247'},/home/CIN/lmps2/semanticConflicts/SMAT/output-test-dest/spring-boot/6664ce19d6f2388ebd6cf54763f54fdddd226b9a/randoop_18,org.springframework.boot.jta.atomikos.AtomikosProperties | java.util.Properties,asProperties(),set(),original
spring-boot,b5709fd6183bb283b7294b77a477528e03483d10,337e64526,NOT-REQUIRED,6664ce19d6f2388ebd6cf54763f54fdddd226b9a,RANDOOP-MODIFIED,True,FIRST_CRITERION,{'(RegressionTest6#test03152'| '(RegressionTest1#test00883'| '(RegressionTest10#test05310'| '(RegressionTest17#test08651'| '(RegressionTest0#test00485'| '(RegressionTest3#test01934'| '(RegressionTest4#test02025'| '(RegressionTest9#test04682'| '(RegressionTest4#test02263'},/home/CIN/lmps2/semanticConflicts/SMAT/output-test-dest/spring-boot/6664ce19d6f2388ebd6cf54763f54fdddd226b9a/randoop-modified_9,org.springframework.boot.jta.atomikos.AtomikosProperties | java.util.Properties,asProperties(),set(),original
